City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,cayenne,0,GF,1540089000,94,4.94,-52.33,77.0,3.36
88,rapid valley,1,US,1540090560,54,44.06,-103.15,60.8,10.29
89,thompson,90,CA,1540090800,63,55.74,-97.86,28.4,8.05
90,falkenberg,75,DE,1540090800,75,49.86,12.22,44.6,2.24
91,bluff,0,AU,1540091707,40,-23.58,149.07,91.67,6.96
92,yellowknife,90,CA,1540090800,82,62.45,-114.38,35.6,12.75
93,tandil,88,AR,1540091708,61,-37.33,-59.14,55.67,12.1
94,udachnyy,88,RU,1540091198,81,66.42,112.4,30.47,4.94
95,marawi,56,PH,1540091709,88,8.0,124.29,77.27,2.26
96,haren,90,NL,1540090500,87,53.17,6.61,53.6,5.82
97,maumere,0,ID,1540091709,91,-8.63,122.22,85.78,6.06
98,samarai,80,PG,1540091142,100,-10.62,150.67,80.69,11.88
99,mindelheim,90,DE,1540090200,100,48.05,10.49,39.2,4.05
100,tongliao,0,CN,1540091710,44,43.61,122.27,58.01,8.75
101,tommot,64,RU,1540091710,71,58.97,126.27,26.87,3.38
102,hasaki,20,JP,1540089000,49,35.73,140.83,68.0,13.87
103,castro,92,CL,1540091711,97,-42.48,-73.76,47.48,8.75
104,verkhnevilyuysk,68,RU,1540091712,80,63.45,120.31,30.07,5.61
105,new norfolk,20,AU,1540089000,48,-42.78,147.06,60.8,11.41
106,namie,20,JP,1540087200,51,37.52,140.86,66.2,11.41
107,merauke,20,ID,1540091713,74,-8.49,140.4,88.16,8.75
108,coahuayana,44,MX,1540091713,93,18.62,-100.35,66.43,2.71
109,havoysund,80,NO,1540090200,100,71.0,24.66,42.8,18.34
110,santana do livramento,24,BR,1540091714,63,-30.89,-55.53,61.34,14.79
111,busselton,92,AU,1540091714,100,-33.64,115.35,61.75,23.62
112,mizdah,56,LY,1540091715,91,31.45,12.98,56.21,2.82
113,arraial do cabo,12,BR,1540090878,96,-22.97,-42.02,68.72,9.19
114,aklavik,90,CA,1540091340,92,68.22,-135.01,23.0,6.93
115,hithadhoo,44,MV,1540091715,100,-0.6,73.08,80.51,6.62
116,bloemhof,0,ZA,1540091716,94,-27.65,25.61,48.29,6.85
117,luderitz,48,NA,1540087200,93,-26.65,15.16,57.2,4.7
118,xai-xai,92,MZ,1540091716,100,-25.04,33.64,66.25,24.4
119,sovetskiy,88,RU,1540091717,87,56.76,48.47,36.86,6.29
120,kota belud,75,MY,1540090800,74,6.35,116.43,86.0,5.82
121,caxito,68,BR,1540091718,81,-22.65,-42.51,65.17,3.38
122,ostrovnoy,56,RU,1540091175,99,68.05,39.51,30.07,9.75
123,sept-iles,75,CA,1540087200,86,50.2,-66.38,39.2,14.99
124,clemson,1,US,1540090560,62,34.69,-82.84,60.8,12.75
125,dikson,48,RU,1540091147,100,73.51,80.55,26.78,7.63
126,chokurdakh,0,RU,1540091237,81,70.62,147.9,13.78,11.99
127,balikpapan,80,ID,1540091719,100,-1.24,116.86,79.97,6.17
128,bredy,32,RU,1540091720,92,52.43,60.33,38.98,8.75
129,puerto carreno,32,CO,1540091720,97,6.19,-67.49,70.88,2.15
130,san ignacio,0,CL,1540087200,81,-36.8,-72.03,48.2,5.82
131,port hedland,0,AU,1540089000,21,-20.31,118.58,95.0,11.41
132,kavieng,12,PG,1540091157,100,-2.57,150.8,82.49,4.61
133,padang,8,ID,1540091224,100,-0.92,100.36,82.58,2.71
134,turceni,68,RO,1540090800,93,44.68,23.37,44.6,2.82
135,margate,20,AU,1540089000,48,-43.03,147.26,60.8,11.41
136,san carlos de bariloche,40,AR,1540087200,75,-41.13,-71.31,42.8,10.29
137,emmett,1,US,1540090380,57,43.87,-116.5,62.6,5.82
138,nanortalik,36,GL,1540090971,89,60.14,-45.24,33.71,25.52
139,faya,40,SA,1540087200,87,18.39,42.45,59.0,2.71
140,saint-pierre,20,FR,1540089000,93,48.95,4.24,41.0,8.05
141,kodiak,1,US,1540090380,69,39.95,-94.76,37.4,5.82
142,kattivakkam,75,IN,1540090800,94,13.22,80.32,80.6,8.19
143,kruisfontein,44,ZA,1540091177,85,-34.0,24.73,57.74,11.99
144,atasu,12,KZ,1540091724,83,48.68,71.64,32.5,14.56
